id,feed/DMDS,feed/C2Cl4,y_predict,y_test
198,7392.307692,171.607143,1,1
136,7366.153846,165.103448,1,0
263,7393.846154,150.1875,1,1
39,7362.307692,199.395833,0,0
271,6867.142857,200.291667,0,1
131,7340,164.517241,1,1
302,6482.142857,162.053571,0,0
121,6992.307692,156.724138,1,1
14,5646.153846,152.916667,0,0
70,7411.538462,200.729167,0,0
117,6679.230769,149.706897,1,1
168,7416.153846,172.160714,1,1
26,7384.615385,200,0,0
237,7393.076923,150.171875,1,1
277,7006.569343,199.979167,0,0
41,7366.923077,199.520833,0,0
76,7103.076923,192.375,0,0
102,7411.538462,166.12069,1,1
16,7362.307692,199.395833,0,0
47,7233.076923,195.895833,0,0
275,6612.142857,192.854167,0,1
56,7383.846154,165.5,1,0
195,7398.461538,171.75,1,0
116,6706.153846,150.310345,1,1
88,7132.307692,159.862069,1,1
161,7403.076923,165.931034,1,1
11,6180.769231,167.395833,0,0
128,7360,164.965517,1,1
303,6742.142857,168.553571,0,0
213,7393.076923,165.706897,1,0
238,7385.384615,150.015625,1,1
6,7401.538462,200.458333,0,0
155,7380.769231,165.431034,1,0
107,6346.153846,142.241379,1,1
104,6576.153846,147.396552,1,1
219,7390.769231,150.125,1,0
289,7005.839416,171.392857,0,0
124,6940.769231,155.568966,1,1
169,7411.538462,172.053571,1,0
60,7436.923077,155.935484,1,1
228,7389.230769,150.09375,1,1
173,7393.076923,171.625,0,0
194,7392.307692,171.607143,1,0
151,7372.307692,165.241379,1,1
20,7373.076923,199.6875,0,1
79,7124.615385,192.958333,0,1
212,7390,165.637931,1,0
120,6676.153846,149.637931,1,1
24,6587.692308,178.416667,0,0
